name,white,black,api,native,multiple,hispanic
ALEXANDRE,0.8375,0.025,0.0375,0.0,0.0,0.1
ALEXANDRIA,0.8478,0.0217,0.0435,0.0109,0.0,0.0761
ALEXANDRU,0.9355,0.0,0.0,0.0,0.0,0.0645
ALEXEI,1.0,0.0,0.0,0.0,0.0,0.0
ALEXEY,1.0,0.0,0.0,0.0,0.0,0.0
ALEXIA,0.8684,0.1053,0.0263,0.0,0.0,0.0
ALEXIS,0.7766,0.0509,0.0288,0.0,0.0022,0.1416
ALF,1.0,0.0,0.0,0.0,0.0,0.0
ALFONSO,0.1307,0.0394,0.0456,0.0,0.0021,0.7822
ALFRED,0.7583,0.0905,0.0469,0.0008,0.0016,0.1019
ALFREDA,0.2286,0.7143,0.0286,0.0,0.0,0.0286
ALFREDO,0.1077,0.0073,0.0786,0.0,0.0,0.8064
ALI,0.7276,0.0428,0.1945,0.0097,0.0058,0.0195
ALIA,0.7333,0.0333,0.1667,0.0,0.0,0.0667
ALICE,0.8014,0.0629,0.0816,0.0021,0.0031,0.0489
ALICIA,0.6667,0.0593,0.0273,0.0012,0.0017,0.2438
ALICJA,1.0,0.0,0.0,0.0,0.0,0.0
ALIDA,0.7353,0.0294,0.0,0.0,0.0,0.2353
ALINA,0.7299,0.0219,0.0365,0.0,0.0,0.2117
ALINE,0.8103,0.1034,0.069,0.0,0.0,0.0172
ALIREZA,0.9315,0.0,0.0548,0.0,0.0,0.0137
ALISA,0.8669,0.074,0.0385,0.0,0.0,0.0207
ALISHA,0.8498,0.1033,0.0047,0.0047,0.0047,0.0329
ALISON,0.9629,0.0128,0.0157,0.0,0.0007,0.0078
ALISSA,0.9554,0.0179,0.0089,0.0045,0.0,0.0134
ALISTAIR,1.0,0.0,0.0,0.0,0.0,0.0
ALIX,0.7568,0.1351,0.027,0.0,0.027,0.054
ALIZA,0.8182,0.0909,0.0,0.0303,0.0,0.0606
ALKA,0.1667,0.0,0.8056,0.0278,0.0,0.0
ALL OTHER FIRST NAMES,0.5142,0.1154,0.2812,0.004,0.003,0.0823
ALLA,0.9921,0.0,0.0,0.0,0.0,0.0079
ALLAN,0.8823,0.0189,0.0746,0.0009,0.0027,0.0207
ALLEN,0.8876,0.045,0.0518,0.0005,0.0047,0.0105
ALLENE,0.7097,0.2258,0.0645,0.0,0.0,0.0
ALLISON,0.9538,0.0192,0.0192,0.0,0.0017,0.0062
ALLYN,0.9123,0.0351,0.0,0.0,0.0,0.0526
ALLYSON,0.9608,0.0314,0.0078,0.0,0.0,0.0
ALMA,0.3159,0.072,0.0507,0.0,0.0,0.5614
ALOK,0.2222,0.0278,0.7222,0.0278,0.0,0.0
ALON,0.9091,0.0303,0.0606,0.0,0.0,0.0
ALONSO,0.1372,0.0196,0.0196,0.0,0.0,0.8235
ALONZO,0.3457,0.4444,0.0247,0.0,0.0,0.1852
ALPHONSE,0.8367,0.1429,0.0,0.0,0.0,0.0204
ALPHONSO,0.1429,0.7679,0.0179,0.0,0.0,0.0714
ALTA,0.9149,0.0638,0.0213,0.0,0.0,0.0
ALTAGRACIA,0.0698,0.0,0.0233,0.0,0.0,0.907
ALTHEA,0.4156,0.5065,0.052,0.0,0.0,0.026
ALTON,0.7402,0.2205,0.0236,0.0079,0.0,0.0079
ALVA,0.5352,0.1549,0.0563,0.0,0.0,0.2535
ALVARO,0.125,0.0,0.0037,0.0,0.0,0.8713
ALVIN,0.6235,0.2101,0.1277,0.0,0.0,0.0387
ALYCE,0.9029,0.068,0.0097,0.0,0.0,0.0194
ALYCIA,0.8824,0.0784,0.0,0.0,0.0,0.0392
ALYSE,1.0,0.0,0.0,0.0,0.0,0.0
ALYSIA,1.0,0.0,0.0,0.0,0.0,0.0
ALYSON,0.9637,0.0155,0.0104,0.0,0.0,0.0104
ALYSSA,0.919,0.0031,0.028,0.0,0.0031,0.0467
AMADO,0.0469,0.0,0.2656,0.0,0.0,0.6875
AMADOR,0.0571,0.0,0.1429,0.0,0.0,0.8
AMAL,0.6731,0.0769,0.25,0.0,0.0,0.0
AMALIA,0.3423,0.0,0.0721,0.009,0.0,0.5766
AMANDA,0.9431,0.0121,0.0093,0.002,0.002,0.0314
AMAR,0.4651,0.0233,0.4884,0.0,0.0,0.0233
AMARJIT,0.1556,0.0,0.8222,0.0,0.0,0.0222
AMBER,0.9506,0.0199,0.0077,0.0019,0.0013,0.0186
AMELIA,0.6173,0.0547,0.1071,0.0,0.0,0.221
AMER,0.6667,0.0,0.3333,0.0,0.0,0.0
AMI,0.8174,0.0435,0.1304,0.0,0.0,0.0087
AMIE,0.9273,0.0364,0.0227,0.0,0.0,0.0136
AMIN,0.5962,0.0769,0.25,0.0192,0.0,0.0577
AMINA,0.4667,0.2667,0.2667,0.0,0.0,0.0
AMIR,0.756,0.0239,0.1818,0.0048,0.0144,0.0191
AMIT,0.2489,0.0043,0.7382,0.0086,0.0,0.0
AMITA,0.2609,0.0,0.6739,0.0652,0.0,0.0
AMOS,0.6505,0.2233,0.0485,0.0,0.0,0.0777
AMPARO,0.0805,0.0,0.0575,0.0,0.0,0.8621
AMY,0.9556,0.0036,0.0284,0.0014,0.001,0.0099
AN,0.036,0.0,0.964,0.0,0.0,0.0
ANA,0.2343,0.0091,0.0229,0.0,0.0012,0.7325
ANABEL,0.1224,0.0,0.0408,0.0,0.0,0.8367
ANAND,0.219,0.0,0.7445,0.0292,0.0,0.0073
ANASTASIA,0.949,0.0255,0.0127,0.0,0.0064,0.0064
ANATOLIY,1.0,0.0,0.0,0.0,0.0,0.0
ANATOLY,0.9762,0.0,0.0238,0.0,0.0,0.0
ANCA,1.0,0.0,0.0,0.0,0.0,0.0
ANDERS,0.9811,0.0,0.0189,0.0,0.0,0.0
ANDERSON,0.3192,0.3404,0.1489,0.0,0.0,0.1915
ANDRA,0.8971,0.0882,0.0,0.0147,0.0,0.0
ANDRE,0.5693,0.3372,0.0334,0.0017,0.0033,0.0551
ANDREA,0.8975,0.0491,0.0081,0.0021,0.0005,0.0427
ANDREAS,0.9573,0.0183,0.0183,0.0,0.0,0.0061
ANDREI,0.9231,0.0256,0.0256,0.0,0.0,0.0256
ANDRES,0.1266,0.0042,0.029,0.0021,0.0,0.8382
ANDREW,0.9321,0.0169,0.0307,0.0011,0.0004,0.0188
ANDREY,0.9737,0.0,0.0175,0.0,0.0,0.0088
ANDRIA,0.8,0.1167,0.05,0.0,0.0,0.0333
ANDRIY,1.0,0.0,0.0,0.0,0.0,0.0
ANDRZEJ,1.0,0.0,0.0,0.0,0.0,0.0
ANDY,0.5279,0.0162,0.3856,0.0072,0.0,0.0631
ANETA,1.0,0.0,0.0,0.0,0.0,0.0
ANGEL,0.2264,0.0372,0.0428,0.0023,0.0,0.6914
ANGELA,0.8562,0.0717,0.0198,0.0019,0.002,0.0485
ANGELIA,0.74,0.2,0.01,0.0,0.01,0.04
ANGELICA,0.2472,0.0044,0.0331,0.0022,0.0,0.713
ANGELIKA,0.913,0.0,0.087,0.0,0.0,0.0
ANGELINA,0.5034,0.0342,0.1096,0.0068,0.0034,0.3425
ANGELINE,0.7921,0.0396,0.1584,0.0,0.0,0.0099
ANGELIQUE,0.777,0.1511,0.0216,0.0,0.0,0.0504
ANGELITA,0.1628,0.0465,0.3837,0.0,0.0116,0.3954
ANGELO,0.8477,0.0309,0.0144,0.0021,0.0,0.1049
ANGIE,0.7757,0.0264,0.095,0.0,0.0,0.1029
ANGUS,0.9535,0.0,0.0465,0.0,0.0,0.0
ANH,0.0435,0.0,0.9511,0.0,0.0,0.0054
ANI,0.8182,0.0454,0.1136,0.0,0.0,0.0227
ANIBAL,0.1111,0.0,0.0,0.0,0.0,0.8889
