name,white,black,api,native,multiple,hispanic
AARON,0.03273016134565444,0.013903436793099801,0.0027458202218196203,0.005649877115172744,0.01767208189747668,0.006417065115162924
ABBAS,0.025434561578399077,0.014457868321658995,0.033882888368279,0.0,0.0,0.0
ABBEY,0.03447367392470469,0.014969651271098252,0.0,0.0,0.0,0.0
ABBIE,0.034280744254072085,0.011515116362383272,0.0,0.0,0.0,0.0030079992727326203
ABBY,0.033819856707560846,0.00652523260535052,0.0030523923825082184,0.0,0.0,0.0034090658424303032
ABDUL,0.015841669621944308,0.028958385222437932,0.06332714501876222,0.04237407836379558,0.05680312038474646,0.0010026664242442068
ABDULLAH,0.02354813813221356,0.038767558420023676,0.030297327010660176,0.0,0.0,0.005057895073409666
ABE,0.027660398334030858,0.055016667064720075,0.0043053394740181425,0.0,0.0,0.01437155208083363
ABEL,0.004587438835042058,0.00912679593166674,0.003265659972552461,0.0,0.0,0.1839781481107648
ABELARDO,0.003290522715789514,0.0,0.015781801663273934,0.0,0.0,0.1759122537646225
ABHIJIT,0.006305942012343639,0.0,0.10976616275089598,0.0,0.0,0.0
ABHISHEK,0.0,0.0,0.13329224377765148,0.0,0.0,0.0
ABIGAIL,0.029146671352237627,0.006141395393271078,0.0063846984769495045,0.0,0.0,0.027183400835065163
ABNER,0.01220101528167339,0.05203126652632441,0.01950065526467041,0.0,0.0,0.08694231972001988
ABRAHAM,0.017042120905880545,0.03305264881795198,0.016461592106539955,0.136538696950008,0.0,0.0685155389900208
ABRAM,0.029078788690348377,0.029768708225716752,0.0031057092800192794,0.0,0.0,0.020721772767713607
ADA,0.01903215473073913,0.03002459970043638,0.011383157618611436,0.0470823092931062,0.0,0.06829272422907764
ADALBERTO,0.002072207573461366,0.0,0.0,0.0,0.0,0.20989150480845395
ADAM,0.034352199687639716,0.0027295090636760347,0.001359580886532045,0.0075331694868969925,0.016409790333371203,0.004434013742768826
ADAN,0.001957878879753153,0.008785607298707237,0.0009063872576880299,0.0,0.0,0.20449938759362954
ADDIE,0.024062617253900517,0.11314668040519561,0.00271916177306409,0.19209582191587332,0.0,0.004545421123240405
ADEL,0.02552030809868024,0.02217726114236778,0.019047461635826393,0.0,0.0,0.020253861769732977
ADELA,0.010250281945276999,0.0,0.01092996398976742,0.0,0.0,0.14064067710732073
ADELAIDA,0.004873260569312592,0.0,0.045439325903801384,0.0,0.0,0.11646527554498821
ADELAIDE,0.027013726660243775,0.05203126652632441,0.0,0.0,0.0,0.027183400835065163
ADELE,0.03350545279986326,0.011045981992063952,0.0034522691138411726,0.0,0.06563916133348481,0.0011586367569044167
ADELINA,0.009221323701903079,0.006866421238310025,0.01074335484847871,0.15160503592380198,0.0,0.1401504846332458
ADELINE,0.023276607484656552,0.032327622972913035,0.020193774932314196,0.0,0.19060602617992706,0.023640646136068966
ADINA,0.03182982288270226,0.023286124199486172,0.0024259188367532565,0.0,0.0,0.008110457298330917
ADMIR,0.03572771678381666,0.0,0.0,0.0,0.0,0.0
ADNAN,0.023819668779770563,0.0064399354471106444,0.04038754986462839,0.14218857406518073,0.0,0.0
ADOLFO,0.0035942083084519556,0.0023883204307165304,0.0029724170362416275,0.0,0.0,0.1941830641619614
ADOLPH,0.025984768416869853,0.06785388937982142,0.0,0.0,0.0,0.025311756843142644
ADRIA,0.03215494510543499,0.0,0.0,0.0,0.0,0.02228147609431571
ADRIAN,0.017595900516029703,0.04733992282313123,0.003545573684485529,0.03295761650517434,0.0441802047436917,0.08088175822236601
ADRIANA,0.012858405270495615,0.0034971834878349197,0.0008130826870436739,0.018832923717242482,0.0,0.13896956640024707
ADRIANE,0.02710304595220332,0.06619059479414384,0.002292626592975605,0.0,0.0,0.01537421850507784
ADRIANNA,0.01786385839190833,0.01420197684693937,0.004438631717795794,0.0,0.0,0.09654563591666997
ADRIANNE,0.031965588206480766,0.026953902003800843,0.0013995685596653405,0.0,0.0,0.007040946445803764
ADRIENNE,0.02979334302602471,0.05429164121968112,0.0020660297785535975,0.015066338973793985,0.020196665025687635,0.0045008581710517725
AFSHIN,0.029932681121481595,0.0,0.018007782134360713,0.0,0.3408187223084788,0.0
AGATA,0.03498458027471327,0.0,0.0,0.0,0.0,0.004634547027617667
AGATHA,0.021833207726590358,0.0710951813929367,0.022219817037734495,0.2617776396696705,0.0,0.0061942503542197665
AGNES,0.02425911969621151,0.046060465449533086,0.023472764129244424,0.053673832594141074,0.0,0.0069518205414265
AGNIESZKA,0.034352199687639716,0.004094263595514052,0.001279605540265454,0.0,0.0,0.004278043410108615
AGUSTIN,0.002093644203531656,0.0017912403230373975,0.00502511759041746,0.0,0.0,0.2004441589444641
AHMAD,0.02410906328571948,0.015694677116137198,0.03516249390854445,0.11582248086104126,0.0769997854104341,0.0013591700417532582
AHMED,0.023344490146545802,0.03633658941018721,0.030297327010660176,0.0,0.28654018505194334,0.0025400882747519905
AHMET,0.032376456949494654,0.0,0.004158718005862726,0.0,0.0,0.013925922558947318
AI,0.0034584429846734525,0.0,0.11609754433033442,0.0,0.0,0.007196916778463974
AIDA,0.013522940802674605,0.004008966437274176,0.020553663990513855,0.0,0.0,0.10202687903587161
AILEEN,0.023433809438505347,0.009169444510786677,0.0300973886449937,0.0,0.06816374446169576,0.020365269150204555
AIMEE,0.03338755133447666,0.0014074031109579553,0.004145388781484961,0.015066338973793985,0.020196665025687635,0.0061942503542197665
AISHA,0.008931929195954164,0.25469731450426997,0.012956006095187721,0.0,0.0,0.012388500708439533
