zcta5,white,black,api,native,multiple,hispanic
62301,0.8954426774270116,0.058865416567766435,0.007773558034654641,0.0018692143365772608,0.02177783052456682,0.014271303109423214
62305,0.9534342258440046,0.014634957591884252,0.008980542158656245,0.0011087089084760797,0.009812073840013305,0.012029491656965464
62311,0.9941860465116279,0.0,0.0,0.002325581395348837,0.0011627906976744186,0.002325581395348837
62312,0.9722093561834183,0.0009263547938860583,0.0018527095877721167,0.002779064381658175,0.012042612320518757,0.01018990273274664
62313,0.9948586118251928,0.0,0.0,0.0,0.005141388174807198,0.0
62314,0.9819376026272577,0.0,0.004926108374384236,0.0,0.0016420361247947452,0.011494252873563216
62316,0.9816793893129773,0.004580152671755726,0.0015267175572519086,0.0,0.009160305343511452,0.003053435114503817
62319,0.9962121212121212,0.0,0.0,0.003787878787878788,0.0,0.0
62320,0.9826086956521739,0.002288329519450801,0.0013729977116704805,0.0013729977116704805,0.006407322654462242,0.005949656750572082
62321,0.9645563431923735,0.0029332681495966755,0.0029332681495966755,0.001955512099731117,0.011244194573453924,0.016377413835248107
62323,1.0,0.0,0.0,0.0,0.0,0.0
62324,0.973548861131521,0.0036737692872887582,0.0007347538574577516,0.0007347538574577516,0.006612784717119765,0.014695077149155033
62325,0.9851116625310173,0.0024813895781637717,0.0,0.0,0.004962779156327543,0.007444168734491315
62326,0.9749798224374495,0.0008071025020177562,0.0012106537530266344,0.002421307506053269,0.005649717514124294,0.01493139628732849
62330,0.9728660260033918,0.0022611644997173543,0.0022611644997173543,0.0016958733747880158,0.011305822498586773,0.009609949123798756
62334,0.9764705882352942,0.005882352941176471,0.0,0.0,0.005882352941176471,0.011764705882352943
62336,1.0,0.0,0.0,0.0,0.0,0.0
62338,0.978275627970129,0.006109979633401222,0.0013577732518669382,0.0,0.008825526137135099,0.005431093007467753
62339,0.9736842105263158,0.002288329519450801,0.003432494279176201,0.003432494279176201,0.012585812356979404,0.004576659038901602
62340,0.9819241982507289,0.0011661807580174927,0.0,0.0,0.007580174927113703,0.009329446064139942
62341,0.9697977279024661,0.003879190911609864,0.0049875311720698244,0.0005541701302299805,0.00969797727902466,0.011083402604599613
62343,0.9731638418079094,0.0014124293785310728,0.0028248587570621456,0.0,0.008474576271186437,0.014124293785310731
62344,0.9927536231884058,0.0,0.0,0.0,0.007246376811594203,0.0
62345,0.9355742296918768,0.0028011204481792717,0.0028011204481792717,0.011204481792717087,0.011204481792717087,0.036414565826330535
62346,1.0,0.0,0.0,0.0,0.0,0.0
62347,0.9877300613496932,0.0021910604732690623,0.0,0.0021910604732690623,0.0052585451358457495,0.0026292725679228747
62348,0.9941176470588236,0.0,0.0,0.0,0.0,0.0058823529411764705
62349,0.9795597484276729,0.0015723270440251573,0.0,0.0,0.012578616352201259,0.006289308176100629
62351,0.9832974137931034,0.004310344827586207,0.0016163793103448276,0.0,0.005926724137931034,0.004849137931034483
62352,0.974169741697417,0.0,0.0,0.0,0.01107011070110701,0.014760147601476014
62353,0.694370449298526,0.22606996980998043,0.003019001953471852,0.0014207068016338128,0.005150062155922571,0.06996980998046527
62354,0.9667260843731433,0.004159239453357101,0.002970885323826501,0.002970885323826501,0.008318478906714203,0.014854426619132506
62355,0.9792682926829268,0.0024390243902439024,0.0012195121951219512,0.0012195121951219512,0.004878048780487805,0.01097560975609756
62356,0.9597197898423818,0.012259194395796848,0.012259194395796848,0.0,0.005253940455341506,0.010507880910683012
62357,0.9714285714285714,0.0,0.0,0.0,0.024489795918367346,0.004081632653061225
62358,0.973404255319149,0.0026595744680851063,0.003989361702127659,0.0026595744680851063,0.0013297872340425532,0.015957446808510637
62359,0.9939759036144579,0.0,0.0,0.0,0.006024096385542169,0.0
62360,0.9891172914147521,0.0012091898428053206,0.0018137847642079807,0.0006045949214026603,0.0018137847642079807,0.005441354292623942
62361,0.9851576994434137,0.0018552875695732839,0.0,0.0,0.0074211502782931356,0.0055658627087198514
62362,0.9949874686716792,0.002506265664160401,0.0,0.0,0.0,0.002506265664160401
62363,0.9392413033212655,0.038721863686447346,0.00377774279867779,0.0023610892491736186,0.005666614198016685,0.010231386746419015
62365,0.990726429675425,0.0,0.0015455950540958269,0.0,0.0077279752704791345,0.0
62366,0.9729921819474059,0.008528784648187633,0.0,0.0,0.004975124378109453,0.013503909026297086
62367,0.9866171003717472,0.0044609665427509295,0.0007434944237918215,0.0,0.0037174721189591076,0.0044609665427509295
62370,0.9903846153846154,0.0,0.0,0.0,0.0038461538461538464,0.0057692307692307696
62373,0.9966666666666667,0.0033333333333333335,0.0,0.0,0.0,0.0
62374,0.9630872483221476,0.006711409395973154,0.0,0.0,0.026845637583892617,0.003355704697986577
62375,0.997289972899729,0.0,0.0,0.0,0.0,0.0027100271002710027
62376,0.988313856427379,0.0008347245409015025,0.001669449081803005,0.001669449081803005,0.004173622704507512,0.00333889816360601
62378,0.9799107142857143,0.002232142857142857,0.0011160714285714285,0.002232142857142857,0.006696428571428571,0.0078125
62379,0.97702834799609,0.0004887585532746823,0.004887585532746823,0.0014662756598240471,0.008308895405669599,0.007820136852394917
62380,0.9875311720698254,0.0,0.0024937655860349127,0.0,0.007481296758104738,0.0024937655860349127
62401,0.9574579556766385,0.0029339340912663066,0.006915701786556296,0.0008906585634201288,0.007282443547964584,0.024519306334154136
62410,0.9898373983739837,0.0020325203252032522,0.0020325203252032522,0.0,0.0020325203252032522,0.0040650406504065045
62411,0.9855432572848429,0.0018070928393946238,0.00022588660492432798,0.00022588660492432798,0.005421278518183871,0.006776598147729839
62413,0.9881235154394299,0.009501187648456057,0.0,0.0,0.0,0.0023752969121140144
62414,0.9846235418875928,0.002651113467656416,0.003181336161187699,0.0010604453870625664,0.005302226935312832,0.003181336161187699
62417,0.9803985625612545,0.0035935968637700096,0.0,0.0006533812479581837,0.004246978111728194,0.011107481215289122
62418,0.9807782466010314,0.0,0.001875293014533521,0.001875293014533521,0.007032348804500703,0.008438818565400843
62419,0.9902439024390244,0.0024390243902439024,0.0,0.007317073170731708,0.0,0.0
62420,0.9726833368354696,0.003992435385585207,0.0035721790292078167,0.0006303845345660853,0.004622819920151292,0.014498844295019962
62421,0.9652956298200515,0.0012853470437017994,0.0038560411311053984,0.0,0.0,0.02956298200514139
62422,0.9844290657439446,0.0017301038062283738,0.005190311418685121,0.0025951557093425604,0.004325259515570935,0.0017301038062283738
