state,county,tract,white,black,api,native,multiple,hispanic
01,021,060500,0.7468092445670919,0.2262849258364953,0.0013797861331493616,0.0013797861331493616,0.00862366333218351,0.01552259399793032
01,021,060600,0.8950276243093922,0.03652547575199509,0.002148557397176182,0.002148557397176182,0.007059545733578882,0.057090239410681407
01,021,060700,0.8186813186813188,0.09870486656200941,0.0009811616954474097,0.003924646781789639,0.006279434850863422,0.07142857142857144
01,023,956700,0.19064070351758794,0.800251256281407,0.0,0.00157035175879397,0.0043969849246231155,0.00314070351758794
01,023,956800,0.6256514842510763,0.3582596872875594,0.0015862225243598455,0.00203942895989123,0.005211874008610921,0.007251302968502152
01,023,956900,0.8223769012632122,0.1665377674658417,0.001288992008249549,0.0005155968032998196,0.0028357824181490074,0.006444960041247744
01,023,957000,0.4812473662031184,0.5120101137800253,0.0,0.0008428150021070375,0.00337126000842815,0.0025284450063211127
01,025,957500,0.7642045454545454,0.2159090909090909,0.0011363636363636363,0.0022727272727272726,0.006818181818181818,0.009659090909090909
01,025,957601,0.7289156626506023,0.2489959839357429,0.011044176706827308,0.0030120481927710836,0.0020080321285140556,0.006024096385542167
01,025,957602,0.5442831215970961,0.4294010889292195,0.006533575317604354,0.0016333938294010885,0.005444646098003629,0.012704174228675133
01,025,957700,0.545522949586155,0.436418359668924,0.0015048908954100827,0.003762227238525207,0.011286681715575621,0.0015048908954100827
01,025,957800,0.4936201239518775,0.484323733138899,0.0014582573824279985,0.0023696682464454974,0.006744440393729493,0.011483776886620488
01,025,957901,0.6627540795877469,0.3149155453764672,0.001145147437732608,0.0028628685943315204,0.00858860578299456,0.009733753220727169
01,025,957902,0.5044917257683215,0.46548463356973996,0.003309692671394799,0.008274231678486997,0.004491725768321513,0.013947990543735224
01,025,958001,0.49883630721489525,0.48254460822342904,0.0,0.007757951900698216,0.003878975950349108,0.0069821567106283944
01,025,958002,0.20103986135181975,0.7845176198729058,0.0005777007510109763,0.004043905257076834,0.0034662045060658577,0.006354708261120739
01,027,958900,0.7436572072918626,0.19751926329637287,0.0007517383950385267,0.003570757376433002,0.02236421725239617,0.03213681638789702
01,027,959000,0.7397642679900744,0.18672456575682383,0.004652605459057072,0.004962779156327543,0.013957816377171216,0.049937965260545905
01,027,959100,0.9600413365483982,0.008956252152945229,0.00034447123665173955,0.0034447123665173954,0.010334137099552186,0.016879090595935238
01,027,959200,0.8297700685760387,0.14885034288019364,0.0012101653892698668,0.004033884630899556,0.008874546187979023,0.007260992335619202
01,029,959500,0.9742921013412816,0.0026080476900149033,0.00037257824143070045,0.004098360655737705,0.011177347242921014,0.007451564828614009
01,029,959600,0.8845512973101642,0.07926684122827898,0.00119019281123542,0.004046655558200428,0.011901928112354201,0.01904308497976672
01,029,959700,0.894059116183787,0.04360550190225344,0.0035118525021949083,0.002341235001463272,0.011120866256950543,0.0453614281533509
01,029,959800,0.9794256322331761,0.0010715816545220744,0.0012858979854264894,0.0030004286326618087,0.0040720102871838835,0.011144449207029575
01,031,010100,0.8945065629557608,0.03937773456490034,0.0024307243558580457,0.02916869227029655,0.026251823043266894,0.008264462809917356
01,031,010200,0.872895165670831,0.0755024443237371,0.0010863661053775121,0.022270505160239002,0.016295491580662683,0.011950027159152634
01,031,010300,0.8441466854724965,0.07921955806299953,0.010108133521391631,0.02679830747531735,0.02092148566055477,0.018805829807240243
01,031,010400,0.7561656584457886,0.17915309446254069,0.0009306654257794321,0.022335970218706373,0.018613308515588643,0.022801302931596087
01,031,010500,0.6508459679191387,0.3148758514612173,0.0024170511975390024,0.01076686442540101,0.011865524060646011,0.00922874093605801
01,031,010600,0.9199231262011531,0.012171684817424727,0.0025624599615631004,0.03267136450992953,0.023062139654067906,0.009609224855861628
01,031,010700,0.8945295404814004,0.03851203501094092,0.002188183807439825,0.03019693654266958,0.016192560175054705,0.018380743982494528
01,031,010800,0.9042253521126761,0.04647887323943662,0.007042253521126761,0.006690140845070422,0.01232394366197183,0.02323943661971831
