zcta5,white,black,api,native,multiple,hispanic
00786,0.0112,0.0,0.0,0.0,0.0,0.9888
00791,0.0071,0.001,0.0011,0.0001,0.0007,0.99
00794,0.0058,0.0004,0.0001,0.0001,0.0002,0.9934
00795,0.0044,0.0008,0.0002,0.0,0.0005,0.9941
00901,0.05,0.0081,0.0021,0.0003,0.0011,0.9384
00906,0.0,0.0,0.5,0.0,0.0,0.5
00907,0.041,0.0078,0.008,0.0002,0.0016,0.9414
00909,0.0074,0.0042,0.001,0.0,0.0021,0.9854
00911,0.0537,0.0053,0.0063,0.0,0.0021,0.9326
00912,0.0101,0.0068,0.0021,0.0003,0.0006,0.9801
00913,0.0187,0.0024,0.0,0.0,0.0003,0.9786
00915,0.0075,0.005,0.0004,0.0004,0.0005,0.9863
00917,0.0072,0.0022,0.0018,0.0003,0.0005,0.9881
00918,0.0129,0.0013,0.0028,0.0001,0.0002,0.9827
00920,0.0077,0.0034,0.0012,0.0001,0.0007,0.987
00921,0.0075,0.0023,0.0013,0.0001,0.0005,0.9883
00923,0.0077,0.0027,0.0011,0.0002,0.0006,0.9877
00924,0.0069,0.0028,0.0003,0.0002,0.0005,0.9893
00925,0.0152,0.0079,0.0077,0.0003,0.001,0.9678
00926,0.009000000000000001,0.0015,0.0012,0.0001,0.0003,0.9879
00927,0.0155,0.0013,0.001,0.0,0.001,0.9812
00934,0.2527,0.083,0.0036,0.0036,0.0144,0.6426
00936,0.0103,0.0015,0.0,0.0,0.0,0.9883
00949,0.0073,0.0014,0.0013,0.0002,0.0004,0.9894
00950,0.0,0.1111,0.0,0.0,0.0,0.8889
00951,0.0,0.0,0.0,0.0,0.0,1.0
00952,0.0042,0.0009,0.0001,0.0,0.0002,0.9946
00953,0.0049,0.0004,0.0006,0.0002,0.0003,0.9936
00956,0.0065,0.001,0.0007,0.0001,0.0004,0.9913
00957,0.0057,0.0008,0.0015,0.0001,0.0002,0.9918
00959,0.0096,0.0015,0.0017,0.0,0.0006,0.9866
00960,0.0051,0.0017,0.0,0.0,0.0,0.9933
00961,0.0063,0.0017,0.0017,0.0001,0.0003,0.9898
